Name,Personality,Species,Image
Angus,Cranky,Bull,"<img alt=""NH-Angus poster"" class="""" data-image-key=""NH-Angus_poster.png"" data-image-name=""NH-Angus poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e9/NH-Angus_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013857"" width=""100""/>"
Anicotti,Peppy,Mouse,"<img alt=""NH-Anicotti poster"" class="""" data-image-key=""NH-Anicotti_poster.png"" data-image-name=""NH-Anicotti poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/NH-Anicotti_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192311"" width=""100""/>"
Ankha,Snooty,Cat,"<img alt=""NH-Ankha poster"" class="""" data-image-key=""NH-Ankha_poster.png"" data-image-name=""NH-Ankha poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/NH-Ankha_poster.png/revision/latest/scale-to-width-down/100?cb=20200410182618"" width=""100""/>"
Annalisa,Normal,Anteater,"<img alt=""NH-Annalisa poster"" class="""" data-image-key=""NH-Annalisa_poster.png"" data-image-name=""NH-Annalisa poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/NH-Annalisa_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013931"" width=""100""/>"
Annalise,Snooty,Horse,"<img alt=""NH-Annalise poster"" class="""" data-image-key=""NH-Annalise_poster.png"" data-image-name=""NH-Annalise poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/NH-Annalise_poster.png/revision/latest/scale-to-width-down/100?cb=20200522013957"" width=""100""/>"
Antonio,Jock,Anteater,"<img alt=""NH-Antonio poster"" class="""" data-image-key=""NH-Antonio_poster.png"" data-image-name=""NH-Antonio poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/NH-Antonio_poster.png/revision/latest/scale-to-width-down/100?cb=20200522014023"" width=""100""/>"
Apollo,Cranky,Eagle,"<img alt=""NH-Apollo poster"" class="""" data-image-key=""NH-Apollo_poster.png"" data-image-name=""NH-Apollo poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/78/NH-Apollo_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191419"" width=""100""/>"
Apple,Peppy,Hamster,"<img alt=""NH-Apple poster"" class="""" data-image-key=""NH-Apple_poster.png"" data-image-name=""NH-Apple poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/NH-Apple_poster.png/revision/latest/scale-to-width-down/100?cb=20200522014055"" width=""100""/>"
Astrid,Snooty,Kangaroo,"<img alt=""NH-Astrid poster"" class="""" data-image-key=""NH-Astrid_poster.png"" data-image-name=""NH-Astrid poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/NH-Astrid_poster.png/revision/latest/scale-to-width-down/100?cb=20200522014120"" width=""100""/>"
Audie,Peppy,Wolf,"<img alt=""NH-Audie poster"" class="""" data-image-key=""NH-Audie_poster.png"" data-image-name=""NH-Audie poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-Audie_poster.png/revision/latest/scale-to-width-down/100?cb=20200410183255"" width=""100""/>"
Aurora,Normal,Penguin,"<img alt=""NH-Aurora poster"" class="""" data-image-key=""NH-Aurora_poster.png"" data-image-name=""NH-Aurora poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/NH-Aurora_poster.png/revision/latest/scale-to-width-down/100?cb=20200410190924"" width=""100""/>"
Ava,Normal,Chicken,"<img alt=""NH-Ava poster"" class="""" data-image-key=""NH-Ava_poster.png"" data-image-name=""NH-Ava poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/NH-Ava_poster.png/revision/latest/scale-to-width-down/100?cb=20200522014146"" width=""100""/>"
Avery,Cranky,Eagle,"<img alt=""NH-Avery poster"" class="""" data-image-key=""NH-Avery_poster.png"" data-image-name=""NH-Avery poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/NH-Avery_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191139"" width=""100""/>"
Axel,Jock,Elephant,"<img alt=""NH-Axel poster"" class="""" data-image-key=""NH-Axel_poster.png"" data-image-name=""NH-Axel poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c5/NH-Axel_poster.png/revision/latest/scale-to-width-down/100?cb=20200522014220"" width=""100""/>"
Baabara,Snooty,Sheep,"<img alt=""NH-Baabara poster"" class="""" data-image-key=""NH-Baabara_poster.png"" data-image-name=""NH-Baabara poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/NH-Baabara_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184807"" width=""100""/>"
Bam,Jock,Deer,"<img alt=""NH-Bam poster"" class="""" data-image-key=""NH-Bam_poster.png"" data-image-name=""NH-Bam poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-Bam_poster.png/revision/latest/scale-to-width-down/100?cb=20200522020326"" width=""100""/>"
Bangle,Peppy,Tiger,"<img alt=""NH-Bangle poster"" class="""" data-image-key=""NH-Bangle_poster.png"" data-image-name=""NH-Bangle poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c7/NH-Bangle_poster.png/revision/latest/scale-to-width-down/100?cb=20200410183706"" width=""100""/>"
Barold,Lazy,Cub,"<img alt=""NH-Barold poster"" class="""" data-image-key=""NH-Barold_poster.png"" data-image-name=""NH-Barold poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH-Barold_poster.png/revision/latest/scale-to-width-down/100?cb=20200522020415"" width=""100""/>"
Bea,Normal,Dog,"<img alt=""NH-Bea poster"" class="""" data-image-key=""NH-Bea_poster.png"" data-image-name=""NH-Bea poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Bea_poster.png/revision/latest/scale-to-width-down/100?cb=20200522020603"" width=""100""/>"
Beardo,Smug,Bear,"<img alt=""NH-Beardo poster"" class="""" data-image-key=""NH-Beardo_poster.png"" data-image-name=""NH-Beardo poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c7/NH-Beardo_poster.png/revision/latest/scale-to-width-down/100?cb=20200522020636"" width=""100""/>"
Beau,Lazy,Deer,"<img alt=""NH-Beau poster"" class="""" data-image-key=""NH-Beau_poster.png"" data-image-name=""NH-Beau poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-Beau_poster.png/revision/latest/scale-to-width-down/100?cb=20200522020451"" width=""100""/>"
Becky,Snooty,Chicken,"<img alt=""NH-Becky poster"" class="""" data-image-key=""NH-Becky_poster.png"" data-image-name=""NH-Becky poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/NH-Becky_poster.png/revision/latest/scale-to-width-down/100?cb=20200522020704"" width=""100""/>"
Bella,Peppy,Mouse,"<img alt=""NH-Bella poster"" class="""" data-image-key=""NH-Bella_poster.png"" data-image-name=""NH-Bella poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1e/NH-Bella_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192458"" width=""100""/>"
Benedict,Lazy,Chicken,"<img alt=""NH-Benedict poster"" class="""" data-image-key=""NH-Benedict_poster.png"" data-image-name=""NH-Benedict poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0e/NH-Benedict_poster.png/revision/latest/scale-to-width-down/100?cb=20200522020807"" width=""100""/>"
Benjamin,Lazy,Dog,"<img alt=""NH-Benjamin poster"" class="""" data-image-key=""NH-Benjamin_poster.png"" data-image-name=""NH-Benjamin poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5f/NH-Benjamin_poster.png/revision/latest/scale-to-width-down/100?cb=20200522021534"" width=""100""/>"
Bertha,Normal,Hippo,"<img alt=""NH-Bertha poster"" class="""" data-image-key=""NH-Bertha_poster.png"" data-image-name=""NH-Bertha poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/NH-Bertha_poster.png/revision/latest/scale-to-width-down/100?cb=20200522021717"" width=""100""/>"
Bettina,Normal,Mouse,"<img alt=""NH-Bettina poster"" class="""" data-image-key=""NH-Bettina_poster.png"" data-image-name=""NH-Bettina poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/NH-Bettina_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192221"" width=""100""/>"
Bianca,Peppy,Tiger,"<img alt=""NH-Bianca poster"" class="""" data-image-key=""NH-Bianca_poster.png"" data-image-name=""NH-Bianca poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/NH-Bianca_poster.png/revision/latest/scale-to-width-down/100?cb=20200410183555"" width=""100""/>"
Biff,Jock,Hippo,"<img alt=""NH-Biff poster"" class="""" data-image-key=""NH-Biff_poster.png"" data-image-name=""NH-Biff poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Biff_poster.png/revision/latest/scale-to-width-down/100?cb=20200522022022"" width=""100""/>"
Big Top,Lazy,Elephant,"<img alt=""NH-Big Top poster"" class="""" data-image-key=""NH-Big_Top_poster.png"" data-image-name=""NH-Big Top poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Big_Top_poster.png/revision/latest/scale-to-width-down/100?cb=20200522022102"" width=""100""/>"
Bill,Jock,Duck,"<img alt=""NH-Bill poster"" class="""" data-image-key=""NH-Bill_poster.png"" data-image-name=""NH-Bill poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-Bill_poster.png/revision/latest/scale-to-width-down/100?cb=20200522022341"" width=""100""/>"
Billy,Jock,Goat,"<img alt=""NH-Billy poster"" class="""" data-image-key=""NH-Billy_poster.png"" data-image-name=""NH-Billy poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d3/NH-Billy_poster.png/revision/latest/scale-to-width-down/100?cb=20200522022646"" width=""100""/>"
Biskit,Lazy,Dog,"<img alt=""NH-Biskit poster"" class="""" data-image-key=""NH-Biskit_poster.png"" data-image-name=""NH-Biskit poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/NH-Biskit_poster.png/revision/latest/scale-to-width-down/100?cb=20200522023459"" width=""100""/>"
Bitty,Snooty,Hippo,"<img alt=""NH-Bitty poster"" class="""" data-image-key=""NH-Bitty_poster.png"" data-image-name=""NH-Bitty poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Bitty_poster.png/revision/latest/scale-to-width-down/100?cb=20200522023552"" width=""100""/>"
Blaire,Snooty,Squirrel,"<img alt=""NH-Blaire poster"" class="""" data-image-key=""NH-Blaire_poster.png"" data-image-name=""NH-Blaire poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f3/NH-Blaire_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184330"" width=""100""/>"
Blanche,Snooty,Ostrich,"<img alt=""NH-Blanche poster"" class="""" data-image-key=""NH-Blanche_poster.png"" data-image-name=""NH-Blanche poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/18/NH-Blanche_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191641"" width=""100""/>"
Bluebear,Peppy,Cub,"<img alt=""NH-Bluebear poster"" class="""" data-image-key=""NH-Bluebear_poster.png"" data-image-name=""NH-Bluebear poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-Bluebear_poster.png/revision/latest/scale-to-width-down/100?cb=20200522023616"" width=""100""/>"
Bob,Lazy,Cat,"<img alt=""NH-Bob poster"" class="""" data-image-key=""NH-Bob_poster.png"" data-image-name=""NH-Bob poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/14/NH-Bob_poster.png/revision/latest/scale-to-width-down/100?cb=20200410181927"" width=""100""/>"
Bonbon,Peppy,Rabbit,"<img alt=""NH-Bonbon poster"" class="""" data-image-key=""NH-Bonbon_poster.png"" data-image-name=""NH-Bonbon poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/NH-Bonbon_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185137"" width=""100""/>"
Bones,Lazy,Dog,"<img alt=""NH-Bones poster"" class="""" data-image-key=""NH-Bones_poster.png"" data-image-name=""NH-Bones poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/91/NH-Bones_poster.png/revision/latest/scale-to-width-down/100?cb=20200522023638"" width=""100""/>"
Boomer,Lazy,Penguin,"<img alt=""NH-Boomer poster"" class="""" data-image-key=""NH-Boomer_poster.png"" data-image-name=""NH-Boomer poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/12/NH-Boomer_poster.png/revision/latest/scale-to-width-down/100?cb=20200410190457"" width=""100""/>"
Boone,Jock,Gorilla,"<img alt=""NH-Boone poster"" class="""" data-image-key=""NH-Boone_poster.png"" data-image-name=""NH-Boone poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/NH-Boone_poster.png/revision/latest/scale-to-width-down/100?cb=20200522023703"" width=""100""/>"
Boots,Jock,Alligator,"<img alt=""NH-Boots poster"" class="""" data-image-key=""NH-Boots_poster.png"" data-image-name=""NH-Boots poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f3/NH-Boots_poster.png/revision/latest/scale-to-width-down/100?cb=20200522023756"" width=""100""/>"
Boris,Cranky,Pig,"<img alt=""NH-Boris poster"" class="""" data-image-key=""NH-Boris_poster.png"" data-image-name=""NH-Boris poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/NH-Boris_poster.png/revision/latest/scale-to-width-down/100?cb=20200410190014"" width=""100""/>"
Boyd,Cranky,Gorilla,"<img alt=""NH-Boyd poster"" class="""" data-image-key=""NH-Boyd_poster.png"" data-image-name=""NH-Boyd poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/NH-Boyd_poster.png/revision/latest/scale-to-width-down/100?cb=20200522023834"" width=""100""/>"
Bree,Snooty,Mouse,"<img alt=""NH-Bree poster"" class="""" data-image-key=""NH-Bree_poster.png"" data-image-name=""NH-Bree poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/NH-Bree_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192442"" width=""100""/>"
Broccolo,Lazy,Mouse,"<img alt=""NH-Broccolo poster"" class="""" data-image-key=""NH-Broccolo_poster.png"" data-image-name=""NH-Broccolo poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/NH-Broccolo_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192254"" width=""100""/>"
Broffina,Snooty,Chicken,"<img alt=""NH-Broffina poster"" class="""" data-image-key=""NH-Broffina_poster.png"" data-image-name=""NH-Broffina poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c9/NH-Broffina_poster.png/revision/latest/scale-to-width-down/100?cb=20200522024006"" width=""100""/>"
Bruce,Cranky,Deer,"<img alt=""NH-Bruce poster"" class="""" data-image-key=""NH-Bruce_poster.png"" data-image-name=""NH-Bruce poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Bruce_poster.png/revision/latest/scale-to-width-down/100?cb=20200522023923"" width=""100""/>"
Bubbles,Peppy,Hippo,"<img alt=""NH-Bubbles poster"" class="""" data-image-key=""NH-Bubbles_poster.png"" data-image-name=""NH-Bubbles poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/NH-Bubbles_poster.png/revision/latest/scale-to-width-down/100?cb=20200522024110"" width=""100""/>"
Buck,Jock,Horse,"<img alt=""NH-Buck poster"" class="""" data-image-key=""NH-Buck_poster.png"" data-image-name=""NH-Buck poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-Buck_poster.png/revision/latest/scale-to-width-down/100?cb=20200522024142"" width=""100""/>"
Bud,Jock,Lion,"<img alt=""NH-Bud poster"" class="""" data-image-key=""NH-Bud_poster.png"" data-image-name=""NH-Bud poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/NH-Bud_poster.png/revision/latest/scale-to-width-down/100?cb=20200522024206"" width=""100""/>"
Bunnie,Peppy,Rabbit,"<img alt=""NH-Bunnie poster"" class="""" data-image-key=""NH-Bunnie_poster.png"" data-image-name=""NH-Bunnie poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/NH-Bunnie_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185724"" width=""100""/>"
Butch,Cranky,Dog,"<img alt=""NH-Butch poster"" class="""" data-image-key=""NH-Butch_poster.png"" data-image-name=""NH-Butch poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/NH-Butch_poster.png/revision/latest/scale-to-width-down/100?cb=20200522024229"" width=""100""/>"
Buzz,Cranky,Eagle,"<img alt=""NH-Buzz poster"" class="""" data-image-key=""NH-Buzz_poster.png"" data-image-name=""NH-Buzz poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-Buzz_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191156"" width=""100""/>"
Cally,Normal,Squirrel,"<img alt=""NH-Cally poster"" class="""" data-image-key=""NH-Cally_poster.png"" data-image-name=""NH-Cally poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-Cally_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184015"" width=""100""/>"
Camofrog,Cranky,Frog,"<img alt=""NH-Camofrog poster"" class="""" data-image-key=""NH-Camofrog_poster.png"" data-image-name=""NH-Camofrog poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/91/NH-Camofrog_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045135"" width=""100""/>"
Canberra,Sisterly,Koala,"<img alt=""NH-Canberra poster"" class="""" data-image-key=""NH-Canberra_poster.png"" data-image-name=""NH-Canberra poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/NH-Canberra_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045240"" width=""100""/>"
Candi,Peppy,Mouse,"<img alt=""NH-Candi poster"" class="""" data-image-key=""NH-Candi_poster.png"" data-image-name=""NH-Candi poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/NH-Candi_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192349"" width=""100""/>"
Carmen,Peppy,Rabbit,"<img alt=""NH-Carmen poster"" class="""" data-image-key=""NH-Carmen_poster.png"" data-image-name=""NH-Carmen poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/NH-Carmen_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185152"" width=""100""/>"
Caroline,Normal,Squirrel,"<img alt=""NH-Caroline poster"" class="""" data-image-key=""NH-Caroline_poster.png"" data-image-name=""NH-Caroline poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/NH-Caroline_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184152"" width=""100""/>"
Carrie,Normal,Kangaroo,"<img alt=""NH-Carrie poster"" class="""" data-image-key=""NH-Carrie_poster.png"" data-image-name=""NH-Carrie poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-Carrie_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045312"" width=""100""/>"
Cashmere,Snooty,Sheep,"<img alt=""NH-Cashmere poster"" class="""" data-image-key=""NH-Cashmere_poster.png"" data-image-name=""NH-Cashmere poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8a/NH-Cashmere_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184707"" width=""100""/>"
Celia,Normal,Eagle,"<img alt=""NH-Celia poster"" class="""" data-image-key=""NH-Celia_poster.png"" data-image-name=""NH-Celia poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8a/NH-Celia_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045441"" width=""100""/>"
Cesar,Cranky,Gorilla,"<img alt=""NH-Cesar poster"" class="""" data-image-key=""NH-Cesar_poster.png"" data-image-name=""NH-Cesar poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/NH-Cesar_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045504"" width=""100""/>"
Chadder,Smug,Mouse,"<img alt=""NH-Chadder poster"" class="""" data-image-key=""NH-Chadder_poster.png"" data-image-name=""NH-Chadder poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/NH-Chadder_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192119"" width=""100""/>"
Charlise,Sisterly,Bear,"<img alt=""NH-Charlise poster"" class="""" data-image-key=""NH-Charlise_poster.png"" data-image-name=""NH-Charlise poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/NH-Charlise_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045539"" width=""100""/>"
Cheri,Peppy,Cub,"<img alt=""NH-Cheri poster"" class="""" data-image-key=""NH-Cheri_poster.png"" data-image-name=""NH-Cheri poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5c/NH-Cheri_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045610"" width=""100""/>"
Cherry,Sisterly,Dog,"<img alt=""NH-Cherry poster"" class="""" data-image-key=""NH-Cherry_poster.png"" data-image-name=""NH-Cherry poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/NH-Cherry_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045634"" width=""100""/>"
Chester,Lazy,Cub,"<img alt=""NH-Chester poster"" class="""" data-image-key=""NH-Chester_poster.png"" data-image-name=""NH-Chester poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-Chester_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045921"" width=""100""/>"
Chevre,Normal,Goat,"<img alt=""NH-Chevre poster"" class="""" data-image-key=""NH-Chevre_poster.png"" data-image-name=""NH-Chevre poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f4/NH-Chevre_poster.png/revision/latest/scale-to-width-down/100?cb=20200522045944"" width=""100""/>"
Chief,Cranky,Wolf,"<img alt=""NH-Chief poster"" class="""" data-image-key=""NH-Chief_poster.png"" data-image-name=""NH-Chief poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/NH-Chief_poster.png/revision/latest/scale-to-width-down/100?cb=20200410183536"" width=""100""/>"
Chops,Smug,Pig,"<img alt=""NH-Chops poster"" class="""" data-image-key=""NH-Chops_poster.png"" data-image-name=""NH-Chops poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Chops_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185841"" width=""100""/>"
Chow,Cranky,Bear,"<img alt=""NH-Chow poster"" class="""" data-image-key=""NH-Chow_poster.png"" data-image-name=""NH-Chow poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b7/NH-Chow_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050009"" width=""100""/>"
